frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len
"0.002411000","0.002411000","1509005639.065951000",,"1.627371000","178.62.82.186","192.168.1.116","1883","2631","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","58",,,,,"1",,"0",,,,"58",,"0",,"16","0.000000000",,,"0x00000000","0","0","0",,,,,,,,,"0","0x00000020",,"2",,,"2",,,,,"0","0",,,,,,,,,,,
"0.015064000","0.015064000","1509005639.081015000",,"1.642435000","192.168.1.116","178.62.82.186","2631","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"17","0.000000000",,,,,,,,,,,,,,,"0,0","0x00000030,0x000000e0",,"8,0","2",,"3,14",,,,,"0,0","0,0",,,"motor","5",,,,,,,
"0.002038000","0.002038000","1509005639.083053000",,"1.644473000","192.168.1.116","178.62.82.186","2631","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"18","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.032118000","0.032118000","1509005639.115171000",,"1.676591000","178.62.82.186","192.168.1.116","1883","2631","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","54",,,,,"1",,"0",,,,"54",,"0",,"19","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.001506000","0.001506000","1509005639.116677000",,"1.678097000","192.168.1.116","178.62.82.186","2631","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"20","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.001037000","0.001037000","1509005639.117714000",,"1.679134000","178.62.82.186","192.168.1.116","1883","2631","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","54",,,,,"1",,"0",,,,"54",,"0",,"21","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.727399000","2.727399000","1509005641.845113000",,"4.406533000","192.168.1.116","178.62.82.186","2632","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"22","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.054900000","0.054900000","1509005641.900013000",,"4.461433000","178.62.82.186","192.168.1.116","1883","2632","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","66",,,,,"1",,"0",,,,"66",,"0",,"23","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.043709000","0.043709000","1509005641.943722000",,"4.505142000","192.168.1.116","178.62.82.186","2632","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"24","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.002958000","0.002958000","1509005641.946680000",,"4.508100000","192.168.1.116","178.62.82.186","2632","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","79",,,,,"1",,"0",,,,"79",,"0",,"25","0.000000000","Cliente2.js","11",,,,,"1","0","0","0","0","0","0","0x00000002","0","0x00000010","60","23",,,"1",,,"4","MQTT","0","0",,,,,,,"4",,,,
