"192.168.1.1","192.168.1.188","22","50963","108",,,,,"25",,"0",,,,"108",,"0",,"19","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:tcp:ssh",,"Oct 24, 2017 12:48:45.749565000 Hora de verano romance","0.102748000","0.102748000","1508842125.749565000",,"1.000014000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192.168.1.1","192.168.1.188","22","50963","108",,,,,"25",,"0",,,,"108",,"0",,"20","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:tcp",,"Oct 24, 2017 12:48:45.749587000 Hora de verano romance","0.000022000","0.000022000","1508842125.749587000",,"1.000036000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192.168.1.188","192.168.1.1","50963","22","62",,,,,"25",,"0",,,,"62",,"0",,"21","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:tcp:vssmonitoring",,"Oct 24, 2017 12:48:45.799922000 Hora de verano romance","0.050335000","0.050335000","1508842125.799922000",,"1.050371000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192.168.1.188","192.168.1.1","50963","22","62",,,,,"25",,"0",,,,"62",,"0",,"22","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:tcp:vssmonitoring",,"Oct 24, 2017 12:48:45.799938000 Hora de verano romance","0.000016000","0.000016000","1508842125.799938000",,"1.050387000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"86",,,,,"25",,"0",,,,"86",,"0",,"23","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ipv6:udp:llmnr",,"Oct 24, 2017 12:48:45.877969000 Hora de verano romance","0.078031000","0.078031000","1508842125.877969000",,"1.128418000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"86",,,,,"25",,"0",,,,"86",,"0",,"24","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ipv6:udp:llmnr",,"Oct 24, 2017 12:48:45.878037000 Hora de verano romance","0.000068000","0.000068000","1508842125.878037000",,"1.128486000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.20.52.33","224.0.0.252",,,"66",,,,,"25",,"0",,,,"66",,"0",,"25","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:udp:llmnr",,"Oct 24, 2017 12:48:45.878076000 Hora de verano romance","0.000039000","0.000039000","1508842125.878076000",,"1.128525000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.20.52.33","224.0.0.252",,,"66",,,,,"25",,"0",,,,"66",,"0",,"26","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:udp:llmnr",,"Oct 24, 2017 12:48:45.878118000 Hora de verano romance","0.000042000","0.000042000","1508842125.878118000",,"1.128567000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.20.52.33","10.20.52.255",,,"94",,,,,"25",,"0",,,,"94",,"0",,"27","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:udp:nbns",,"Oct 24, 2017 12:48:46.239148000 Hora de verano romance","0.361030000","0.361030000","1508842126.239148000",,"1.489597000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.20.52.33","255.255.255.255",,,"188",,,,,"25",,"0",,,,"188",,"0",,"28","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:udp:db-lsp-disc:json",,"Oct 24, 2017 12:48:46.266529000 Hora de verano romance","0.027381000","0.027381000","1508842126.266529000",,"1.516978000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.20.52.33","10.20.52.255",,,"188",,,,,"25",,"0",,,,"188",,"0",,"29","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:udp:db-lsp-disc:json",,"Oct 24, 2017 12:48:46.266860000 Hora de verano romance","0.000331000","0.000331000","1508842126.266860000",,"1.517309000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192.168.1.116","239.255.255.250",,,"217",,,,,"25",,"0",,,,"217",,"0",,"30","0.000000000",,,,,,,,,,,,,,,"sll:ethertype:ip:udp:ssdp",,"Oct 24, 2017 12:48:46.448477000 Hora de verano romance","0.181617000","0.181617000","1508842126.448477000",,"1.698926000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
